protocol_id,run_id,engine,method,dataset,pred_len,seed,tifo_lr_scale,tifo_residual_alpha,epochs_ran,mse,mae,physical_gpu,dataset_sha256,log_file
kdd_resubmit_tifo_stabilized_h96_gate_v1,stabilized_h96_electricity_itransformer_tifo_s2022,native,"iTransformer+TIFO[historical,lr=0.25,alpha=0.5]",Electricity,96,2022,0.25,0.5,12,0.14418239891529083,0.23729835450649261,4,7e45845d54c5219bad0ae6bc1b5316cf8ff9cead5d33fa998a5a51c2e4a497ad,/mnt/data1/park/TS/FredNormer/experiment_records/stabilized_h96_electricity_itransformer_tifo_s2022/run.log
kdd_resubmit_tifo_stabilized_h96_gate_v1,stabilized_h96_etth1_itransformer_tifo_s2022,native,"iTransformer+TIFO[historical,lr=0.25,alpha=0.5]",ETTh1,96,2022,0.25,0.5,13,0.3959261476993561,0.4123478829860687,0,f18de3ad269cef59bb07b5438d79bb3042d3be49bdeecf01c1cd6d29695ee066,/mnt/data1/park/TS/FredNormer/experiment_records/stabilized_h96_etth1_itransformer_tifo_s2022/run.log
kdd_resubmit_tifo_stabilized_h96_gate_v1,stabilized_h96_etth2_itransformer_tifo_s2022,native,"iTransformer+TIFO[historical,lr=0.25,alpha=0.5]",ETTh2,96,2022,0.25,0.5,7,0.29409125447273254,0.3458850085735321,1,a3dc2c597b9218c7ce1cd55eb77b283fd459a1d09d753063f944967dd6b9218b,/mnt/data1/park/TS/FredNormer/experiment_records/stabilized_h96_etth2_itransformer_tifo_s2022/run.log
kdd_resubmit_tifo_stabilized_h96_gate_v1,stabilized_h96_ettm1_itransformer_tifo_s2022,native,"iTransformer+TIFO[historical,lr=0.25,alpha=0.5]",ETTm1,96,2022,0.25,0.5,12,0.33990994095802307,0.37588822841644287,2,6ce1759b1a18e3328421d5d75fadcb316c449fcd7cec32820c8dafda71986c9e,/mnt/data1/park/TS/FredNormer/experiment_records/stabilized_h96_ettm1_itransformer_tifo_s2022/run.log
kdd_resubmit_tifo_stabilized_h96_gate_v1,stabilized_h96_ettm2_itransformer_tifo_s2022,native,"iTransformer+TIFO[historical,lr=0.25,alpha=0.5]",ETTm2,96,2022,0.25,0.5,7,0.18479302525520325,0.2694278061389923,3,db973ca252c6410a30d0469b13d696cf919648d0f3fd588c60f03fdbdbadd1fd,/mnt/data1/park/TS/FredNormer/experiment_records/stabilized_h96_ettm2_itransformer_tifo_s2022/run.log
kdd_resubmit_tifo_stabilized_h96_gate_v1,stabilized_h96_traffic_itransformer_tifo_s2022,native,"iTransformer+TIFO[historical,lr=0.25,alpha=0.5]",Traffic,96,2022,0.25,0.5,20,0.39647984504699707,0.26903894543647766,5,cb06463d56fa17d87f47027cd9389ceae82a69eddee51cdb61480e120dab0b16,/mnt/data1/park/TS/FredNormer/experiment_records/stabilized_h96_traffic_itransformer_tifo_s2022/run.log
kdd_resubmit_tifo_stabilized_h96_gate_v1,stabilized_h96_weather_itransformer_tifo_s2022,native,"iTransformer+TIFO[historical,lr=0.25,alpha=0.5]",Weather,96,2022,0.25,0.5,10,0.17041808366775513,0.21099713444709778,6,34ee981d07313e51da2a50bb600072c8ae4a69cb4b0651f4cb93a069d7a2ba63,/mnt/data1/park/TS/FredNormer/experiment_records/stabilized_h96_weather_itransformer_tifo_s2022/run.log
