protocol_id,run_id,engine,method,dataset,pred_len,seed,tifo_lr_scale,tifo_residual_alpha,epochs_ran,mse,mae,physical_gpu,dataset_sha256,log_file
kdd_resubmit_patchtst_ettm2_h96_gate_v1,gate_patchtst_ettm2_h96_ori_s2021,native,PatchTST+ORI,ETTm2,96,2021,,,8,0.18115156888961792,0.2636709213256836,0,db973ca252c6410a30d0469b13d696cf919648d0f3fd588c60f03fdbdbadd1fd,/mnt/data1/park/TS/FredNormer/experiment_records/gate_patchtst_ettm2_h96_ori_s2021/run.log
kdd_resubmit_patchtst_ettm2_h96_gate_v1,gate_patchtst_ettm2_h96_ori_s2022,native,PatchTST+ORI,ETTm2,96,2022,,,7,0.18296264111995697,0.2671043872833252,2,db973ca252c6410a30d0469b13d696cf919648d0f3fd588c60f03fdbdbadd1fd,/mnt/data1/park/TS/FredNormer/experiment_records/gate_patchtst_ettm2_h96_ori_s2022/run.log
kdd_resubmit_patchtst_ettm2_h96_gate_v1,gate_patchtst_ettm2_h96_ori_s2023,native,PatchTST+ORI,ETTm2,96,2023,,,8,0.1831572949886322,0.26543131470680237,4,db973ca252c6410a30d0469b13d696cf919648d0f3fd588c60f03fdbdbadd1fd,/mnt/data1/park/TS/FredNormer/experiment_records/gate_patchtst_ettm2_h96_ori_s2023/run.log
kdd_resubmit_patchtst_ettm2_h96_gate_v1,gate_patchtst_ettm2_h96_tifo_s2021,native,PatchTST+TIFO[historical],ETTm2,96,2021,,,8,0.17513982951641083,0.25794437527656555,1,db973ca252c6410a30d0469b13d696cf919648d0f3fd588c60f03fdbdbadd1fd,/mnt/data1/park/TS/FredNormer/experiment_records/gate_patchtst_ettm2_h96_tifo_s2021/run.log
kdd_resubmit_patchtst_ettm2_h96_gate_v1,gate_patchtst_ettm2_h96_tifo_s2022,native,PatchTST+TIFO[historical],ETTm2,96,2022,,,9,0.176865354180336,0.2599112391471863,3,db973ca252c6410a30d0469b13d696cf919648d0f3fd588c60f03fdbdbadd1fd,/mnt/data1/park/TS/FredNormer/experiment_records/gate_patchtst_ettm2_h96_tifo_s2022/run.log
kdd_resubmit_patchtst_ettm2_h96_gate_v1,gate_patchtst_ettm2_h96_tifo_s2023,native,PatchTST+TIFO[historical],ETTm2,96,2023,,,10,0.17723405361175537,0.25999772548675537,5,db973ca252c6410a30d0469b13d696cf919648d0f3fd588c60f03fdbdbadd1fd,/mnt/data1/park/TS/FredNormer/experiment_records/gate_patchtst_ettm2_h96_tifo_s2023/run.log
